"[0.217, 0.2446, 0.3328, 0.4483, 0.5514, 0.5965, 0.6332, 0.655, 0.6994, 0.7656, 0.7644, 0.7932, 0.8054, 0.8094, 0.8184]",0.8111,BoundedMixGauss-0-Ours,0.001,9.74,1.0,447,45
"[0.1226, 0.181, 0.2555, 0.2628, 0.3579, 0.4325, 0.4489, 0.5009, 0.5306, 0.5255, 0.53, 0.5986, 0.5688, 0.6214, 0.6361]",0.6088,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.1376, 0.1569, 0.2857, 0.4262, 0.5357, 0.5547, 0.5744, 0.6235, 0.6275, 0.7061, 0.7411, 0.7615, 0.7587, 0.7751, 0.7731]",0.769,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,180,45
"[0.1165, 0.1691, 0.3235, 0.4441, 0.5082, 0.6315, 0.6751, 0.7339, 0.7575, 0.7867, 0.8039, 0.8156, 0.8235, 0.8331, 0.8355]",0.8307,ThreeLevels-0-Ours,0.001,9.74,1.0,435,46
"[0.1187, 0.1758, 0.2072, 0.2694, 0.2619, 0.3661, 0.4425, 0.4248, 0.4375, 0.4374, 0.5163, 0.5538, 0.5624, 0.5977, 0.6106]",0.5902,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,46
"[0.1456, 0.1603, 0.2207, 0.2601, 0.4546, 0.5158, 0.5166, 0.5733, 0.6151, 0.6347, 0.6589, 0.6753, 0.7164, 0.7122, 0.7502]",0.7263,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,46
"[0.1535, 0.1899, 0.2613, 0.3905, 0.4848, 0.6054, 0.6336, 0.6857, 0.7315, 0.7439, 0.7648, 0.7881, 0.7996, 0.8129, 0.8212]",0.8112,BoundedPareto-0-Ours,0.001,9.74,1.0,295,46
"[0.1187, 0.1758, 0.2072, 0.2694, 0.2619, 0.3661, 0.4425, 0.4248, 0.4375, 0.4374, 0.5163, 0.5538, 0.5624, 0.5977, 0.6106]",0.5902,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,46
"[0.1476, 0.24, 0.3075, 0.4055, 0.4616, 0.5012, 0.4876, 0.5187, 0.6057, 0.5975, 0.6826, 0.7201, 0.7289, 0.7589, 0.7812]",0.7563,BoundedPareto-0-Dropout,0.001,9.74,1.0,121,46
"[0.1247, 0.211, 0.3184, 0.4327, 0.4948, 0.616, 0.6759, 0.7326, 0.7548, 0.7825, 0.8006, 0.8136, 0.822, 0.8344, 0.8381]",0.8315,BoundedMixGauss-0-Ours,0.001,9.74,1.0,428,46
"[0.1187, 0.1758, 0.2072, 0.2694, 0.2619, 0.3661, 0.4425, 0.4248, 0.4375, 0.4374, 0.5163, 0.5538, 0.5624, 0.5977, 0.6106]",0.5902,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,46
"[0.1494, 0.1749, 0.2229, 0.3275, 0.4539, 0.5, 0.5072, 0.5704, 0.5987, 0.6305, 0.6512, 0.6729, 0.701, 0.6943, 0.7429]",0.7127,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,173,46
